                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.8201,                 3.7185,                 1.3094,                0.55194,                0.21341,                0.26503,                 0.1102,                 1.7417,                 3.0392,                 1.3908,              0.0033114,              0.0033114,              0.0033114
                      2,                 1.6762,                 2.0905,                 1.2438,                0.77856,                0.51567,                0.63274,                0.33431,                 1.6402,                 2.3508,                   1.34,              0.0066316,              0.0066316,              0.0066316
                      3,                 1.6638,                 1.7014,                 1.2525,                0.65107,                0.61422,                0.64501,                 0.3469,                 1.5762,                 1.8585,                 1.3278,              0.0099386,              0.0099386,              0.0099386
                      4,                 1.6293,                 1.5174,                  1.249,                0.68937,                0.82605,                0.84161,                0.47538,                 1.4702,                 1.6104,                  1.268,              0.0099406,              0.0099406,              0.0099406
                      5,                 1.6258,                 1.3165,                 1.2598,                0.68791,                0.31462,                 0.3946,                0.16709,                 2.0387,                 2.9972,                 1.6896,              0.0099208,              0.0099208,              0.0099208
                      6,                 1.6061,                 1.1973,                 1.2625,                0.59759,                0.63785,                0.74449,                0.39497,                 1.6686,                 2.1372,                  1.415,               0.009901,               0.009901,               0.009901
                      7,                 1.5972,                 1.0792,                 1.2652,                0.71408,                0.68912,                0.72879,                0.40191,                 1.6052,                 1.8607,                 1.3631,              0.0098812,              0.0098812,              0.0098812
                      8,                 1.5905,                  1.008,                 1.2609,                0.62311,                0.58615,                0.69791,                0.37674,                 1.5746,                 1.9621,                 1.4047,              0.0098614,              0.0098614,              0.0098614
                      9,                 1.5756,                0.92974,                 1.2565,                0.81481,                0.72745,                0.82842,                0.44462,                 1.7053,                 1.6454,                 1.4684,              0.0098416,              0.0098416,              0.0098416
                     10,                 1.5847,                0.90266,                 1.2669,                0.53654,                0.66003,                0.68093,                0.36595,                 1.5532,                 2.1157,                 1.3488,              0.0098218,              0.0098218,              0.0098218
